player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
ABELLA HANNIEL,1690.1255933550972,81.38298528907123,0.059971691253349016,1645.6835105396256,91.00067265415889,0.05997328092419764,27.0,2.3703703703703702,19.0,3.6842105263157894,27.0,0.0,14.0,5.0
ALARCON BEVERLY GAY,1405.359018087495,156.27639742954355,0.05999758202392124,,,,5.0,-2.2,0.0,,1.0,4.0,,
ALPUERTO PARIS,1240.333965929615,193.5342760660586,0.05999951960297835,,,,5.0,-3.6,0.0,,0.0,5.0,,
ASIS JUZ LOVAINE,1500.2601773147082,151.14777127225824,0.05999729660905309,1481.4711739551458,256.51709027715685,0.05999846985964635,5.0,-0.6,1.0,-4.0,2.0,3.0,0.0,1.0
BACCAY MARTINA JENE,1549.0424573188104,108.53762421314713,0.05998886597082478,1375.6698303650985,221.57199658752995,0.05999739094727588,11.0,0.36363636363636365,2.0,-8.5,5.0,6.0,0.0,2.0
BALLESTEROS JULIANNA,1701.0349030541872,208.56031868140545,0.05999895134450626,1527.7053581680125,207.41705999020692,0.05999786410297408,4.0,3.0,3.0,0.6666666666666666,4.0,0.0,2.0,1.0
BARCELLANO JAMAICA,1268.00875585502,155.76943743992223,0.05999879340362132,,,,5.0,-4.0,0.0,,0.0,5.0,,
BARRIENTOS ANDREA,1373.4577528286445,102.45053271545477,0.05998436845666549,1402.0436044017044,260.9993447443678,0.05999878343299849,15.0,-1.9333333333333333,1.0,-12.0,3.0,12.0,0.0,1.0
BELEN FRANCES CAMILLE,1529.0726445954099,170.4895773278844,0.059997488073362325,1359.3305592302586,290.3189631942719,0.059999497680000596,5.0,0.2,1.0,-13.0,2.0,3.0,0.0,1.0
BERNABE FRANCESCA BETTINA,1443.274530189369,175.03064239531042,0.05999759487500774,1456.3318813616984,247.41870607943784,0.059998387986139816,5.0,-0.4,2.0,-2.5,2.0,3.0,1.0,1.0
BUENO MARIA KRISTINA ANGELA,1505.3220109472588,97.08835744949106,0.05998241652601632,1461.9844587358737,166.61351108393583,0.05999360111443779,16.0,-0.3125,5.0,-2.8,7.0,9.0,2.0,3.0
BUSTOS MICKYLE REIN,1568.0751688435034,82.29147128686579,0.05997289485896945,1551.471891999124,120.60181408267431,0.05998367724685606,24.0,0.9583333333333334,11.0,0.9090909090909091,18.0,6.0,6.0,5.0
CANELA BEATRICE ISABELA,1364.1538734975525,168.34731887529324,0.05999794554408287,,,,4.0,-3.25,0.0,,0.0,4.0,,
CANLAS NINA DOMINIQUE,1656.5071053484278,87.08892294323073,0.059973022193765865,1504.5881067785972,127.65693323557961,0.05998515551355381,24.0,1.9166666666666667,10.0,0.1,20.0,4.0,5.0,5.0
CAPINA MIYAKE,1507.8804377567976,110.52323188206336,0.059989995679410754,1440.9660031614367,215.99876017614707,0.059996985988305884,11.0,-0.36363636363636365,2.0,-4.5,5.0,6.0,0.0,2.0
CAPUNO DAHLIA MAE,1439.6874674694818,157.74403126650316,0.059997450379279324,1451.2832075156082,247.36541518884368,0.05999839991057551,6.0,-1.0,2.0,-2.5,2.0,4.0,1.0,1.0
CARIG SOPHIA,1513.9660316596658,140.76085518385722,0.059997219737672296,1430.9895898919806,257.78007765271764,0.059998607210204065,6.0,-0.6666666666666666,1.0,-6.0,2.0,4.0,0.0,1.0
DEL ROSARIO SARINA KELLY,1419.382617456459,90.52030058793851,0.05998682469426227,1370.2012526228777,241.25028555854735,0.05999785393065299,21.0,-1.2857142857142858,2.0,-10.0,5.0,16.0,0.0,2.0
DELA CRUZ CHIARA MICHAELA,1439.80280826057,95.43302720793268,0.059988775106872026,1405.8166848061285,235.77188166430776,0.059997470859685736,20.0,-1.2,2.0,-6.5,4.0,16.0,0.0,2.0
DELOS SANTOS JAYMI,1598.7126188235852,85.81845082570688,0.05997204777928182,1570.7141844166256,107.2632945662736,0.059980175386992976,23.0,1.2173913043478262,14.0,1.5714285714285714,14.0,9.0,9.0,5.0
DINOY IVY CLAIRE,1717.506622647933,87.7226306381849,0.059975383732197116,1662.092449356251,98.41720906153263,0.05997945512335779,25.0,2.68,16.0,4.875,23.0,2.0,12.0,4.0
EDNILAG KRUPS KAYA,1595.2793362148805,82.7677540389777,0.05997910715866901,1502.3505964772546,117.48584415402733,0.05998579949292902,24.0,0.8333333333333334,12.0,-0.3333333333333333,14.0,10.0,7.0,5.0
ESPIRITU ISABELLE TONIGRACE,1338.146716149939,103.89185658092008,0.059985495266372216,,,,16.0,-2.75,0.0,,2.0,14.0,,
FELICIANO SUMMER LUCINE,1374.2197287828249,94.67235785995341,0.05997751898061161,1365.6448545282299,207.74762982844433,0.05999636886258467,20.0,-1.75,3.0,-6.666666666666667,5.0,15.0,0.0,3.0
FLORES MARIEL ELIANNE,1515.740643396104,86.23074263049647,0.059973676722634366,1509.5276254990858,151.4234112457991,0.059991000373102815,20.0,0.15,6.0,-2.0,9.0,11.0,2.0,4.0
GEPUELA CATHERINE THERESE,1415.4800995186422,116.39400967664841,0.05998881661662168,1398.6695350840512,200.49228976395776,0.059996439871445324,14.0,-1.6428571428571428,3.0,-4.0,4.0,10.0,1.0,2.0
GOMEZ JULIANA MA. BEATRICE,1712.3259414854554,85.32678157105943,0.05997520474149648,1604.702592996617,95.49490488111952,0.05997437608322576,23.0,2.391304347826087,18.0,3.0,21.0,2.0,13.0,5.0
HARRISON ASHLEY MAE MICHELLE,1704.5163602822768,89.38617378619922,0.05997353791790505,1609.2362440691152,99.36038449895345,0.05997651123391625,26.0,2.576923076923077,17.0,2.823529411764706,23.0,3.0,12.0,5.0
JIMENEZ JULIANNA,1380.2686146100002,98.44408416327262,0.059983850983708724,1391.7927382672035,290.3189625489991,0.05999927874065883,17.0,-1.588235294117647,1.0,-10.0,4.0,13.0,0.0,1.0
JUNIA ELEINA MARGUERITE,1443.419111243017,79.9811408922017,0.05996323066203494,1361.078907163006,169.90991259909384,0.059993048676539124,26.0,-1.0384615384615385,5.0,-7.4,9.0,17.0,1.0,4.0
LARRAZABAL ALEXA,1720.5290722251423,83.29894117218025,0.05996872095309756,1710.9548594866292,88.77399223183556,0.059972708233686174,28.0,2.857142857142857,23.0,6.0,27.0,1.0,22.0,1.0
LOPEZ ALTHEA SOPHIA,1431.8085885687385,163.50164476752798,0.05999752793002869,1462.8621964001447,273.7550057628433,0.05999874562823133,5.0,-1.4,1.0,-3.0,1.0,4.0,0.0,1.0
MANAOIS IRISH,1500.2397004435818,90.37884426173807,0.05997719874138762,1457.7484149889826,183.01784556192823,0.059993722728801435,20.0,-0.3,4.0,-4.0,9.0,11.0,0.0,4.0
MANGULABNAN KIANA DOMINIQUE,1410.208730549586,101.03288555297549,0.05998335985481796,1435.4575292118825,268.80575439611624,0.05999874837178878,16.0,-1.6875,1.0,-12.0,3.0,13.0,0.0,1.0
MARTINEZ TASHA ISABELLA,1531.8901907936934,94.22021140972059,0.059981440821730306,1413.0307470404823,201.32203917091465,0.05999562382229271,16.0,-0.1875,3.0,-5.333333333333333,8.0,8.0,0.0,3.0
MARZAN SHAMIKA REIZEL,1414.8483159170873,172.15742289464256,0.05999767712523542,,,,4.0,-2.5,0.0,,0.0,4.0,,
MATIAS ANDREA JENNELLE,1628.924771490467,78.92598203143848,0.059974223769559194,1561.0957916281313,111.27805786160557,0.05998100316612259,25.0,1.6,13.0,1.6923076923076923,21.0,4.0,8.0,5.0
MENDOZA JENNINA,1578.85710684324,81.37956852463049,0.059967109441019725,1561.8466948651403,126.69524078919562,0.05998681650451434,26.0,0.6923076923076923,10.0,1.5,16.0,10.0,5.0,5.0
NORO NAMI,1499.1634687354767,84.71905121173256,0.05997302026178231,1469.4491434301426,147.07595230654232,0.05998992752490298,21.0,-0.09523809523809523,7.0,-1.2857142857142858,10.0,11.0,3.0,4.0
ONG JICKLE CLAIN,1500.6787031330077,77.39756560366833,0.059976702332351084,1495.2279809170736,157.2576487521281,0.05999181525626578,27.0,-0.3333333333333333,6.0,-1.5,12.0,15.0,2.0,4.0
PALO AJ DREYFUS,1348.027595306105,114.96395630438545,0.059987251892649245,1438.0136906734626,270.4994699719953,0.05999876435986353,14.0,-2.5714285714285716,1.0,-2.0,2.0,12.0,0.0,1.0
RAFAEL GAY MARIE,1408.186769903018,79.50036295512955,0.05996443815455615,1398.2034833886403,239.20242162160443,0.059997599095918515,26.0,-1.8076923076923077,2.0,-8.5,4.0,22.0,0.0,2.0
RAFAEL RANA IMOGEN,1476.050338375961,86.3675020546437,0.05998058515474015,1405.2754805464806,199.36467240668924,0.05999559123955581,21.0,-0.5238095238095238,3.0,-5.666666666666667,7.0,14.0,0.0,3.0
RAGOT MICHELLE,1308.881308331633,131.24889748816742,0.05999273133449586,,,,10.0,-2.8,0.0,,1.0,9.0,,
RAGOT MIKAELA NICOLE,1488.3633518805937,80.26229573921448,0.05996741664432791,1373.6286093135573,185.9351956620697,0.0599942547714078,25.0,-0.44,4.0,-5.5,11.0,14.0,0.0,4.0
RODRIGUEZ ELOUISE NOELLE,1202.778932005734,174.5107211762212,0.05999989663063485,,,,5.0,-4.8,0.0,,0.0,5.0,,
SALVADOR IVANA,1580.0001487119307,81.91904786952178,0.05997520916296818,1520.310174774794,130.36596693055137,0.0599869202911435,25.0,0.88,9.0,-0.4444444444444444,14.0,11.0,4.0,5.0
SANDOVAL JUSTA ANDREA,1521.8567520808615,88.05193258821147,0.059973716763182985,1414.8424943055998,171.47603782172484,0.05999289992183388,20.0,-0.05,4.0,-3.75,12.0,8.0,0.0,4.0
SCHOFIELD CYRYLLE ANNE,1623.8458368580623,105.28517303721162,0.05998435737233356,1449.4909003462774,170.48175669722553,0.05999342269498097,16.0,1.6875,5.0,-2.4,13.0,3.0,2.0,3.0
SEVILLA JULIANA SHANE,1663.2767629702098,145.37245253534064,0.059997972572156055,1495.9973146730977,230.9912393981312,0.05999812378775664,6.0,2.5,2.0,-1.0,6.0,0.0,1.0,1.0
SIA SARAH-INGRID AURELIA,1399.8480406109813,86.03759383589016,0.05997205783467487,1420.8840473545815,206.594259903624,0.05999579064032171,22.0,-1.5454545454545454,3.0,-7.333333333333333,6.0,16.0,0.0,3.0
SYKAT ROBYN NOELLE,1513.9148082668892,89.69097588923667,0.05997357861541316,1460.169282954513,151.747707529179,0.0599915829831627,19.0,-0.47368421052631576,6.0,-2.8333333333333335,8.0,11.0,2.0,4.0
TAPALES ENDIRAJ MARGARET,1566.961033167579,86.53278687160908,0.05997871378002357,1489.6683629039628,157.36340216182526,0.05999204208698114,22.0,0.6363636363636364,6.0,0.0,12.0,10.0,2.0,4.0
TORRE PAPINA MARGUERITE,1519.0892668287804,80.07991332841766,0.05996698178847633,1392.9385888347178,158.8883685886784,0.05999100629983821,26.0,-0.2692307692307692,6.0,-6.0,11.0,15.0,1.0,5.0
TRINIDAD SOLANA MAYUMI,1560.9259643392786,90.85754609546741,0.05997906772802733,1484.0291014393167,142.3031515580928,0.05999129271684319,21.0,0.19047619047619047,8.0,-1.875,12.0,9.0,4.0,4.0
UY JANA ANNIKA,1466.5701094401534,81.97227499562943,0.05996952186336945,1514.059101104388,170.41934277157563,0.059993450688841134,24.0,-1.0,5.0,-0.8,6.0,18.0,2.0,3.0
VELASCO ZOEY NICOLE,1267.7317883022213,133.04542460781792,0.05999343471950271,,,,10.0,-3.3,0.0,,0.0,10.0,,
VERGARA CYRRA,1648.0894565690462,115.47606739414088,0.0599880191389192,1551.5167283495389,141.232889541045,0.05999052246273886,13.0,1.8461538461538463,8.0,1.125,11.0,2.0,5.0,3.0
VILLAPANDO JHOLAN,1593.2468080602907,101.6982035431593,0.05998377884225177,1448.5750074907219,206.18538289542627,0.05999564434012585,16.0,1.0625,3.0,-2.0,11.0,5.0,0.0,3.0
